,station_id,num_bikes_available,num_docks_available,last_reported
0,2351,2,16,1662839034
1,2351,2,16,1662838786
2,2351,2,16,1662838972
3,2351,2,16,1662838848
4,2351,2,16,1662838911
5,2351,2,16,1662839096
6,2351,2,16,1662838554
7,2351,2,16,1662838427
8,2351,2,16,1662838301
9,2351,2,16,1662838681
10,2351,2,16,1662838618
11,2351,2,16,1662838365
12,2351,2,16,1662838722
13,2351,2,16,1662838492
14,2351,2,16,1662839697
15,2351,2,16,1662839800
16,2351,2,16,1662839864
17,2351,2,16,1662839928
18,2351,2,16,1662839759
19,2351,2,16,1662839990
20,2351,2,16,1662840052
21,2351,2,16,1662840114
22,2351,2,16,1662840177
23,2351,2,16,1662839634
24,2351,2,16,1662839388
25,2351,2,16,1662839202
26,2351,2,16,1662839159
27,2351,2,16,1662839448
28,2351,2,16,1662839572
29,2351,2,16,1662839509
30,2351,2,16,1662839327
31,2351,2,16,1662839265
32,2351,3,15,1662837104
33,2351,3,15,1662837229
34,2351,3,15,1662837168
35,2351,3,15,1662837291
36,2351,3,15,1662838196
37,2351,3,15,1662838011
38,2351,3,15,1662837948
39,2351,3,15,1662838073
40,2351,3,15,1662838135
41,2351,3,15,1662837416
42,2351,3,15,1662837353
43,2351,3,15,1662837526
44,2351,3,15,1662837460
45,2351,3,15,1662837821
46,2351,3,15,1662837773
47,2351,3,15,1662837885
48,2351,3,15,1662837657
49,2351,3,15,1662837592
50,2351,3,15,1662837701
51,2351,3,15,1662838259
52,2351,3,15,1662845865
53,2351,3,15,1662845742
54,2351,3,15,1662845803
55,2351,3,15,1662845925
56,2351,3,15,1662845985
57,2351,3,15,1662845084
58,2351,3,15,1662845022
59,2351,3,15,1662844857
60,2351,3,15,1662844919
61,2351,3,15,1662844961
62,2351,3,15,1662844797
63,2351,3,15,1662845456
64,2351,3,15,1662845330
65,2351,3,15,1662845679
66,2351,3,15,1662845516
67,2351,3,15,1662845393
68,2351,3,15,1662845639
69,2351,3,15,1662845577
70,2351,3,15,1662845207
71,2351,3,15,1662845147
72,2351,3,15,1662845268
73,2351,3,15,1662844482
74,2351,3,15,1662844608
75,2351,3,15,1662844672
76,2351,3,15,1662844546
77,2351,3,15,1662844734
78,2351,3,15,1662846107
79,2351,3,15,1662846170
80,2351,3,15,1662846295
81,2351,3,15,1662846045
82,2351,3,15,1662846232
83,2351,3,15,1662847841
84,2351,3,15,1662848091
85,2351,3,15,1662848029
86,2351,3,15,1662847737
87,2351,3,15,1662847904
88,2351,3,15,1662847674
89,2351,3,15,1662847968
90,2351,3,15,1662847615
91,2351,3,15,1662847799
92,2351,3,15,1662847554
93,2351,3,15,1662847250
94,2351,3,15,1662847493
95,2351,3,15,1662847373
96,2351,3,15,1662847433
97,2351,3,15,1662847311
98,2351,3,15,1662846941
99,2351,3,15,1662847188
100,2351,3,15,1662847124
101,2351,3,15,1662847002
102,2351,3,15,1662847064
103,2351,3,15,1662846838
104,2351,3,15,1662846652
105,2351,3,15,1662846714
106,2351,3,15,1662846777
107,2351,3,15,1662846899
108,2351,3,15,1662846529
109,2351,3,15,1662846591
110,2351,3,15,1662846466
111,2351,3,15,1662846357
112,2351,3,15,1662846398
113,2351,3,15,1662840763
114,2351,3,15,1662840700
115,2351,3,15,1662840657
116,2351,3,15,1662840886
117,2351,3,15,1662840825
118,2351,3,15,1662840238
119,2351,3,15,1662840300
120,2351,3,15,1662840342
121,2351,3,15,1662840596
122,2351,3,15,1662840468
123,2351,3,15,1662840532
124,2351,3,15,1662840404
125,2351,3,15,1662843109
126,2351,3,15,1662843235
127,2351,3,15,1662843283
128,2351,3,15,1662842985
129,2351,3,15,1662843171
130,2351,3,15,1662843047
131,2351,3,15,1662843761
132,2351,3,15,1662843885
133,2351,3,15,1662843823
134,2351,3,15,1662843656
135,2351,3,15,1662843699
136,2351,3,15,1662843407
137,2351,3,15,1662843468
138,2351,3,15,1662843345
139,2351,3,15,1662843530
140,2351,3,15,1662843595
141,2351,3,15,1662844421
142,2351,3,15,1662843948
143,2351,3,15,1662844379
144,2351,3,15,1662844013
145,2351,3,15,1662844258
146,2351,3,15,1662844197
147,2351,3,15,1662844075
148,2351,3,15,1662844136
149,2351,3,15,1662844319
150,2351,3,15,1662842860
151,2351,3,15,1662842817
152,2351,3,15,1662842922
153,2351,3,15,1662842698
154,2351,3,15,1662842758
155,2351,3,15,1662842206
156,2351,3,15,1662842083
157,2351,3,15,1662842329
158,2351,3,15,1662842144
159,2351,3,15,1662842268
160,2351,3,15,1662841729
161,2351,3,15,1662841854
162,2351,3,15,1662841979
163,2351,3,15,1662841604
164,2351,3,15,1662841541
165,2351,3,15,1662842021
